NPRI ID,Company Name,Facility Name,City,Census Subdivision,Census Area or Census Metropolitan Area,Economic Region,Province,Postal Code,Terrestrial Ecozone,Watershed,NAICS 4 Code,NAICS 6 Code,Latitude,Longitude
0000002760,Weyerhaeuser Company Limited,Drayton Valley Sawmill,Drayton Valley,Drayton Valley, ,Edmonton,AB,T7A 1S8,Boreal PLain,Nelson River Drainage Area,3211,321111,53.2277,-114.9889
0000002762,Weyerhaeuser Company Limited,Edson O.S.B.,Edson,Edson, ,Banff--Jasper--Rocky Mountain House,AB,T7E 1S8,Boreal PLain,Great Slave Lake Drainage Area,3212,321217,53.59306,-116.3903
0000002767,Anti-Friction Enterprises Ltd.,ANTI-FRICTION ENTERPRISES (1985) LTD. PLANT 1,Etobicoke,Toronto,Toronto,Toronto,ON,M9W 5C3,MixedWood Plain,St. Lawrence Drainage Area,3328,332810,43.7026,-79.6062
0000002776,Chevron Canada Limited,Burnaby Refinery,Burnaby,Burnaby,Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,BC,V5C 1X4,Pacific Maritime,Pacific Drainage Area,3241,324110,49.28869,-123.00575
0000002788,Rio Tinto Alcan Inc,Rio Tinto Alcan Inc - British Columbia,Kitimat,Kitimat, ,North Coast / Côte-nord,BC,V8C 2H2,Pacific Maritime,Pacific Drainage Area,3313,331313,54.0102,-128.7036
0000002794,THOMPSON CREEK MINING LTD.,Endako Mine,Endako,Bulkley-Nechako D, ,Nechako,BC,V0J 1S0,Montane Cordillera,Pacific Drainage Area,2122,212299,54.0332,-125.1183
0000002796,"ERCO Worldwide, A division of Superior Plus LP",Grande Prairie Plant,Grande Prairie,Grande Prairie County No. 1, ,Athabasca--Grande Prairie--Peace River,AB,T8V 3R5,Boreal PLain,Great Slave Lake Drainage Area,3251,325189,55.0706,-118.6888
0000002803,Paccar du Canada Ltée.,Paccar usine Ste-Thérèse,Ste-Therese,Sainte-Thérèse,Montréal,Laurentides,QC,J7E 4K9,MixedWood Plain,St. Lawrence Drainage Area,3369,336990,45.6339,-73.8474
0000002806,THK Rhythm Automotive Canada,Chassis Systems(Plants 1 & 2),St. Catharines,St. Catharines,St. Catharines - Niagara,Hamilton--Niagara Peninsula,ON,L2R 7B5,MixedWood Plain,St. Lawrence Drainage Area,3363,336330,43.1465,-79.2608
0000002812,TRW Automotive,Plant Number 4,Tillsonburg,Tillsonburg,Tillsonburg,London,ON,N4G 5C4,MixedWood Plain,St. Lawrence Drainage Area,3363,336330,42.8517,-80.7082
0000002815,Glencore Canada Corporation DUPLICATE???,Kidd Metallurgical Site,Timmins/District of Cochrane,Timmins,Timmins,Northeast / Nord-est,ON,P4N 7K1,Boreal Shield,Southwestern Hudson Bay Drainage Area,2122,212233,48.5493,-81.078
0000002838,Labatt Brewing Company Ltd,Labatt Brewing Company Ltd,London,London,London,London,ON,N6A 4M3,MixedWood Plain,St. Lawrence Drainage Area,3121,312120,42.9764,-81.2477
0000002852,Orica Canada Inc.,Orica Brownsburg,Brownsburg-Chatham,Brownsburg-Chatham, ,Laurentides,QC,J8G 3B5,Boreal Shield,St. Lawrence Drainage Area,3259,325920,45.6758,-74.4095
0000002855,Olin Canada ULC,Usine de Bécancour,Bécancour,Bécancour,Trois-Rivières,Centre-du-Québec,QC,G9H 2Y8,MixedWood Plain,St. Lawrence Drainage Area,3251,325181,46.3832,-72.3724
0000002857,Orica Canada Inc.,Carseland Works,Carseland,Wheatland County, ,Camrose--Drumheller,AB,T0J 0M0,Prairie,Nelson River Drainage Area,3253,325313,50.8467,-113.58117
0000002860,Praxair Canada Inc.,Edmonton Plant Alberta,Edmonton,Edmonton,Edmonton,Edmonton,AB,T6B 2X6,Prairie,Nelson River Drainage Area,3399,339990,53.502691,-113.419233
0000002875,International Paper Company,International Paper Canadian Pulp Holdings ULC,Grande Prairie,Grande Prairie County No. 1, ,Athabasca--Grande Prairie--Peace River,AB,T8V 3A9,Boreal PLain,Great Slave Lake Drainage Area,3221,322112,55.0712,-118.6912
0000002891,Jempak GK Inc.,Oakville,Oakville,Oakville,Toronto,Toronto,ON,L6L 2X5,MixedWood Plain,St. Lawrence Drainage Area,3256,325610,43.4207,-79.717
0000002909,Stella-Jones Inc.,Usine de Delson,Delson,Delson,Montréal,Montérégie,QC,J0L 1G0,MixedWood Plain,St. Lawrence Drainage Area,3211,321114,45.3708,-73.5541
0000002912,Stella-Jones Inc.,Prince George Plant,Prince George,Prince George,Prince George,Cariboo,BC,V2N 2K8,Montane Cordillera,Pacific Drainage Area,3211,321114,53.8543,-122.7312
0000002917,Kimberly-Clark Inc.,"Kimberly Clark, Huntsville Mill",Huntsville,Huntsville, ,Muskoka--Kawarthas,ON,P1H 2A1,Boreal Shield,St. Lawrence Drainage Area,3221,322121,45.3463,-79.2426
0000002923,Cadorath Plating Co Ltd.,Head Office,Winnipeg,Winnipeg,Winnipeg,Winnipeg,MB,R2R 0J2,Prairie,Nelson River Drainage Area,3328,332810,49.924915,-97.216179
0000002924,Domtar Inc.,Kamloops Mill (SFO),Kamloops,Kamloops,Kamloops,Thompson--Okanagan,BC,V2C 1A9,Montane Cordillera,Pacific Drainage Area,3221,322112,50.6861,-120.4037
0000002927,Woodbridge Foam Corp.,Whitby Site,Whitby,Whitby,Oshawa,Toronto,ON,L1N 7V4,MixedWood Plain,St. Lawrence Drainage Area,3261,326150,43.8625,-78.8925
0000002935,Mines d'Or Wesdome limitée,Complexe Minier Kiena,Val-d'Or,Val-d'Or,Val-d'Or,Abitibi-Témiscamingue,QC,J9P 4P3,Boreal Shield,Southwestern Hudson Bay Drainage Area,2122,212220,48.1083,-77.9417
0000002938,Société en commandite Revenu Noranda,SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD,Salaberry de Valleyfield,Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Montérégie,QC,J6T 6L4,MixedWood Plain,St. Lawrence Drainage Area,3314,331410,45.2283,-74.0981
0000002948,Tembec,Site de Témiscaming,Témiscaming,Témiscaming, ,Abitibi-Témiscamingue,QC,J0Z 3R0,Boreal Shield,St. Lawrence Drainage Area,3221,322112,46.7111,-79.0967
0000002960,Shell Canada Products,Shell Scotford Refinery,Fort Saskatchewan,Strathcona County,Edmonton,Edmonton,AB,T8L 4A4,Prairie,Nelson River Drainage Area,3241,324110,53.7959,-113.0996
0000002960,Shell Canada Products,Shell Scotford Refinery,Fort Saskatchewan,Strathcona County,Edmonton,Edmonton,AB,T8L 4A4,Prairie,Nelson River Drainage Area,3241,324110,53.7959,-113.0996
0000002963,Shell Chemicals Canada,Scotford Chemical Plant,"Fort Saskatchewan,Strathcona County",Strathcona County,Edmonton,Edmonton,AB,T8L 4A3,Prairie,Nelson River Drainage Area,3251,325110,53.8042,-113.0824
0000002963,Shell Chemicals Canada,Scotford Chemical Plant,"Fort Saskatchewan,Strathcona County",Strathcona County,Edmonton,Edmonton,AB,T8L 4A3,Prairie,Nelson River Drainage Area,3251,325110,53.8042,-113.0824
0000002966,Baytech Plastics Inc.,Heritage Plant,Midland,Midland,Midland,Kitchener--Waterloo--Barrie,ON,L4R 4L6,MixedWood Plain,St. Lawrence Drainage Area,3261,326198,44.752,-79.8781
0000002978,Rio Tinto Alcan Inc,Usine Vaudreuil,Jonquiere,Saguenay,Saguenay,Saguenay--Lac-Saint-Jean,QC,G7S 4L2,Boreal Shield,St. Lawrence Drainage Area,3313,331313,48.4257,-71.1718
0000002984,U.S. Steel Canada Inc.,Hamilton Works,Hamilton,Hamilton,Hamilton,Hamilton--Niagara Peninsula,ON,L8N 3T1,MixedWood Plain,St. Lawrence Drainage Area,3311,331110,43.26438,-79.82723
0000002986,ArcelorMittal Produits Longs Canada,ArcelorMittal Contrecoeur Ouest,Contrecoeur,Contrecoeur, ,Montérégie,QC,J0L 1C0,MixedWood Plain,St. Lawrence Drainage Area,3311,331110,45.8206,-73.2661
0000002989,Uniboard Canada Inc,"Uniboard Canada inc, usine Sayabec",Sayabec,Sayabec, ,Bas-Saint-Laurent,QC,G0J 3K0,Atlantic Maritime,Maritime Provinces Drainage Area,3212,321216,48.5675,-67.6767
0000002991,West Fraser Mills Ltd.,Hinton Pulp,Hinton,Hinton, ,Banff--Jasper--Rocky Mountain House,AB,T7V 1V7,Boreal PLain,Great Slave Lake Drainage Area,3221,322112,53.4133,-117.5706
0000002994,Nufarm Agriculture,Calgary Plant,Calgary,Calgary,Calgary,Calgary,AB,T2H 1H9,Prairie,Nelson River Drainage Area,1151,115110,51.00527,-114.0635
0000002998,Goodyear Canada Inc.,Medicine Hat Plant,Medicine Hat,Medicine Hat,Medicine Hat,Lethbridge--Medicine Hat,AB,T1C 1W8,Prairie,Nelson River Drainage Area,3262,326210,50.0537,-110.71139
0000003019,Magna Exteriors and Interiors Corp.,Rollstamp - 90 Snidercroft Rd.,Concord,Vaughan,Toronto,Toronto,ON,L4K 2K1,MixedWood Plain,St. Lawrence Drainage Area,3363,336390,43.7895,-79.5002
0000003026,Magna Exteriors and Interiors Corp.,Co-Ex-Tec Industries (South Plant),Concord,Vaughan,Toronto,Toronto,ON,L4K 2X3,MixedWood Plain,St. Lawrence Drainage Area,3363,336390,43.827,-79.488
0000003032,"Sivaco Ontario, a Division of SIVACO Wire Group L.P.",Sivaco Ontario,Ingersoll,Ingersoll,Ingersoll,London,ON,N5C 3K5,MixedWood Plain,St. Lawrence Drainage Area,3312,331221,43.0293,-80.892
0000003040,Kemira Water Solutions Canada Inc.,Brantford Operations,Brantford,Brant,Brantford,Hamilton--Niagara Peninsula,ON,N3T 5L8,MixedWood Plain,St. Lawrence Drainage Area,3251,325189,43.1802,-80.3424
0000003043,Lantic Inc. - Raffinerie Montréal,Lantic Inc. - Raffinerie Montréal,Montréal,Montréal,Montréal,Montréal,QC,H1W 2K3,MixedWood Plain,St. Lawrence Drainage Area,3113,311310,45.546113,-73.533495
0000003048,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,Thunder Bay,Thunder Bay,Northwest / Nord-ouest,ON,P7B 6T7,Boreal Shield,St. Lawrence Drainage Area,2211,221112,48.3592,-89.2219
0000003060,Rio Tinto Alcan Inc,Usine Laterrière,Laterrière,Saguenay,Saguenay,Saguenay--Lac-Saint-Jean,QC,G7N 1A2,Boreal Shield,St. Lawrence Drainage Area,3313,331313,48.3007,-71.1289
0000003062,Rio Tinto Alcan Inc,Usine Grande-Baie,La Baie,Saguenay,Saguenay,Saguenay--Lac-Saint-Jean,QC,G7B 4G9,Boreal Shield,St. Lawrence Drainage Area,3313,331313,48.3058,-70.9267
0000003068,Unilever Canada,Rexdale Plant,Rexdale,Toronto,Toronto,Toronto,ON,M9W 1G8,MixedWood Plain,St. Lawrence Drainage Area,3119,311990,43.7004,-79.5801
