ORIS plant code,Name,Operator,County,State,Sulfur dioxide,Sulfur dioxide rank,Nitrogen oxides,Nitrogen oxides rank,Carbon dioxide,Carbon dioxide rank,Heat input,Gross load,Latitude,Longitude
6165,Hunter,Pacificorp Energy Generation,Emery County,UT,3511.551,103,9773.081,16,9040837.527,42,88117369.6,9270635.73,39.1747,-111.0289
6166,Rockport,Indiana Michigan Power Company,Spencer County,IN,20783.618,12,11261.066,8,11424627.69,25,108930498,11597703.45,37.9256,-87.0372
6170,Pleasant Prairie,Wisconsin Electric Power Company,Kenosha County,WI,930.951,210,2117.749,137,6664190.326,75,63566573.76,5847388.97,42.5381,-87.9033
6177,Coronado Generating Station,Salt River Project,Apache County,AZ,221.592,271,4154.303,78,5022681.616,108,47889759.52,4436331.54,34.5778,-109.2717
6178,Coleto Creek,"Coleto Creek Power, LP",Goliad County,TX,12201.278,30,2636.788,119,4325803.451,125,41245316.59,4092252.76,28.7128,-97.2142
6179,Sam Seymour,Lower Colorado River Authority,Fayette County,TX,1139.609,195,7118.203,33,13006531.32,17,124013504.7,12202757.95,29.9172,-96.7506
6180,Oak Grove,Oak Grove Management Company LLC,Robertson County,TX,8775.839,46,4891.86,72,14703420.85,13,135146532.6,14412156.73,31.185,-96.4853
6181,J T Deely,City of San Antonio,Bexar County,TX,11356.324,31,2021.42,139,4652456.651,116,45345602.34,3809978.28,29.3072,-98.3228
6183,San Miguel,"San Miguel Electric Cooperative, Inc.",Atascosa County,TX,8595.946,48,2784.895,115,3820073.84,135,35088368.69,2868614.47,28.7044,-98.4781
6190,Brame Energy Center,Cleco Power LLC,Rapides Parish,LA,5175.559,72,2221.101,135,6493655.549,81,61759084.16,6003355.8,31.395,-92.7167
6193,Harrington Station,Southwestern Public Service Company,Potter County,TX,12881.522,28,3552.704,94,5152298.947,105,49267892.62,4994217.66,35.2972,-101.7475
6194,Tolk Station,Southwestern Public Service Company,Lamb County,TX,13626.296,24,3347.72,99,5394856.364,101,51479833.83,5453709.41,34.1847,-102.5686
6195,John Twitty Energy Center,"City of Springfield, MO",Greene County,MO,2628.952,130,867.54,230,2172117.239,184,20857494.12,2147775.79,37.1519,-93.3892
6204,Laramie River,Basin Electric Power Cooperative,Platte County,WY,6522.031,58,9164.868,20,12349460.81,20,117748555.4,11015540.69,42.1103,-104.8828
6213,Merom,"Hoosier Energy REC, Inc.",Sullivan County,IN,2638.086,127,1565.276,170,5328519.659,102,51934916.19,5284679.1,39.0694,-87.5108
6248,Pawnee,Public Service Company of Colorado,Morgan County,CO,1906.113,156,1157.139,200,4375178.356,124,41750336.98,3807683.59,40.2217,-103.6803
6249,Winyah,Santee Cooper,Georgetown County,SC,541.867,242,619.554,243,1479776.356,208,14422808.06,1427677.53,33.3303,-79.3611
6250,Mayo,"Duke Energy Progress, LLC",Person County,NC,1510.982,173,1304.368,187,1707255.457,201,16665574.64,0,36.5278,-78.8917
6254,Ottumwa,Interstate Power & Light Company,Wapello County,IA,1155.287,193,3236.31,102,4870335.076,112,46443384.5,4315792.9,41.0961,-92.5556
6257,Scherer,Georgia Power Company,Monroe County,GA,1355.144,182,10786.874,10,16805674.4,4,160237197.4,15814837.75,33.0583,-83.8072
6264,Mountaineer (1301),Appalachian Power Company,Mason County,WV,4110.345,93,3277.431,101,7389620.785,67,72023574.9,7717729.97,38.9794,-81.9344
6469,Antelope Valley,Basin Electric Power Cooperative,Mercer County,ND,12861.885,29,3706.812,89,7388094.769,68,67861637.54,6679957.93,47.3714,-101.8344
6481,Intermountain,Intermountain Power Service Corporation,Millard County,UT,2483.616,134,9609.692,17,8383032.975,50,81706031.8,9025509.5,39.5035,-112.5811
6639,R D Green,Big Rivers Electric Corporation,Webster County,KY,3107.974,113,2967.48,109,2858590.025,166,27861520.53,2724050.75,37.6467,-87.5006
